_fixture_id,player_id,alt_id,name,player_team,_player_team_abbr,_player_team_name,opponent_team,_opponent_team_abbr,_opponent_team_name,match_difficulty,was_home_match,player_team_goals,opponent_team_goals,player_team_total_goals,opponent_team_total_goals,player_team_relavent_avg_goals,opponent_team_relavent_avg_goals,player_team_avg_goals,opponent_team_avg_goals,played_minutes,goal_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,team_selected,points
10,1,69140,Shkodran Mustafi,1,ARS,Arsenal,13,NEW,Newcastle,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,33117,0
11,1,69140,Shkodran Mustafi,1,ARS,Arsenal,5,BUR,Burnley,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,36709,0
24,1,69140,Shkodran Mustafi,1,ARS,Arsenal,10,LIV,Liverpool,4,0,1,3,5,3,3,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30975,0
31,1,69140,Shkodran Mustafi,1,ARS,Arsenal,17,TOT,Spurs,4,1,2,2,6,4,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,28096,0
49,1,69140,Shkodran Mustafi,1,ARS,Arsenal,18,WAT,Watford,2,0,2,2,8,3,1.3333333333333333,0,2.6666666666666665,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26902,0
51,1,69140,Shkodran Mustafi,1,ARS,Arsenal,2,AVL,Aston Villa,4,1,3,2,10,6,1,0,2.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,26330,0
67,1,69140,Shkodran Mustafi,1,ARS,Arsenal,12,MUN,Man Utd,4,0,1,1,13,17,1.2,0,2.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25642,0
71,1,69140,Shkodran Mustafi,1,ARS,Arsenal,3,BOU,AFC Bournemouth,3,1,1,0,16,17,1.5,0,2.6666666666666665,2.8333333333333335,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25277,0
88,1,69140,Shkodran Mustafi,1,ARS,Arsenal,15,SHU,Sheffield Utd,3,0,0,1,17,9,1,0,2.4285714285714284,1.2857142857142858,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25175,0
91,1,69140,Shkodran Mustafi,1,ARS,Arsenal,7,CRY,Crystal Palace,2,1,2,2,18,10,1.375,0,2.25,1.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,25037,0
